"Reference","Value","LCSC"
"C1","2.2uF","C513763"
"C2","10nF","C49296944"
"C3","100nF","C19186128"
"J1","Connector",""
"MT1","ICM-42670-P","C3288646"
"R1,R2","10K","C84376"
